basin_id,NSE
GRDC_6321100,0.325
GRDC_6321200,0.59
GRDC_6334270,0.76
GRDC_6334280,
GRDC_6334800,0.604
GRDC_6335020,0.906
GRDC_6335030,0.879
GRDC_6335031,0.792
GRDC_6335032,0.835
GRDC_6335035,0.847
GRDC_6335040,-0.865
GRDC_6335045,0.878
GRDC_6335046,0.869
GRDC_6335048,0.833
GRDC_6335050,0.916
GRDC_6335055,0.722
GRDC_6335060,0.915
GRDC_6335070,0.911
GRDC_6335075,0.658
GRDC_6335076,0.733
GRDC_6335080,0.845
GRDC_6335081,0.794
GRDC_6335082,0.713
GRDC_6335083,0.837
GRDC_6335100,0.892
GRDC_6335113,0.803
GRDC_6335115,0.784
GRDC_6335116,0.813
GRDC_6335117,0.612
GRDC_6335125,0.785
GRDC_6335150,0.885
GRDC_6335155,0.395
GRDC_6335156,0.611
GRDC_6335160,0.692
GRDC_6335165,0.544
GRDC_6335167,0.667
GRDC_6335170,0.86
GRDC_6335175,-0.164
GRDC_6335180,0.861
GRDC_6335190,-5.901
GRDC_6335200,0.885
GRDC_6335240,0.889
GRDC_6335290,0.822
GRDC_6335291,0.813
GRDC_6335300,0.653
GRDC_6335301,0.9
GRDC_6335302,0.87
GRDC_6335303,0.9
GRDC_6335304,0.8
GRDC_6335310,0.739
GRDC_6335320,0.732
GRDC_6335350,0.819
GRDC_6335351,0.776
GRDC_6335360,0.765
GRDC_6335400,0.871
GRDC_6335410,0.729
GRDC_6335450,0.753
GRDC_6335451,
GRDC_6335460,0.682
GRDC_6335461,
GRDC_6335465,0.77
GRDC_6335470,0.673
GRDC_6335485,0.127
GRDC_6335500,0.859
GRDC_6335510,-0.692
GRDC_6335520,0.762
GRDC_6335521,0.792
GRDC_6335530,0.714
GRDC_6335540,0.838
GRDC_6335550,0.713
GRDC_6335551,0.607
GRDC_6335560,0.448
GRDC_6335565,0.536
GRDC_6335570,0.669
GRDC_6335571,-0.16
GRDC_6335580,0.436
GRDC_6335600,0.84
GRDC_6335601,0.75
GRDC_6335602,0.777
GRDC_6335603,0.708
GRDC_6335604,0.752
GRDC_6335606,0.782
GRDC_6335610,0.08
GRDC_6335620,0.738
GRDC_6335621,0.785
GRDC_6335635,0.707
GRDC_6335640,0.515
GRDC_6335650,0.423
GRDC_6335651,0.307
GRDC_6335660,0.764
GRDC_6335665,0.393
GRDC_6335670,
GRDC_6335671,0.118
GRDC_6335675,0.664
GRDC_6335676,0.643
GRDC_6335677,0.769
GRDC_6335680,0.762
GRDC_6335681,0.785
GRDC_6335690,0.696
GRDC_6335695,0.743
GRDC_6335696,0.658
GRDC_6335697,
GRDC_6335700,0.371
GRDC_6335710,0.805
GRDC_6335720,0.826
GRDC_6335725,0.841
GRDC_6335730,0.849
GRDC_6335735,0.683
GRDC_6335800,0.806
GRDC_6335810,0.706
GRDC_6335820,0.681
GRDC_6335830,-0.008
GRDC_6336050,0.923
GRDC_6336500,0.927
GRDC_6336510,0.701
GRDC_6336800,0.881
GRDC_6336900,0.882
GRDC_6336910,0.726
GRDC_6336920,0.796
GRDC_6336930,0.793
GRDC_6337050,0.709
GRDC_6337060,0.746
GRDC_6337100,0.837
GRDC_6337200,0.839
GRDC_6337250,0.763
GRDC_6337300,0.543
GRDC_6337310,0.82
GRDC_6337320,0.788
GRDC_6337330,0.635
GRDC_6337340,0.758
GRDC_6337350,0.664
GRDC_6337400,0.881
GRDC_6337410,0.646
GRDC_6337500,0.676
GRDC_6337501,0.748
GRDC_6337502,0.507
GRDC_6337503,0.424
GRDC_6337504,0.814
GRDC_6337505,0.211
GRDC_6337506,0.75
GRDC_6337507,0.799
GRDC_6337508,0.748
GRDC_6337509,0.803
GRDC_6337510,0.787
GRDC_6337511,0.883
GRDC_6337512,0.876
GRDC_6337513,0.864
GRDC_6337514,0.884
GRDC_6337515,0.86
GRDC_6337516,0.887
GRDC_6337517,0.851
GRDC_6337518,0.862
GRDC_6337519,0.882
GRDC_6337520,0.874
GRDC_6337521,0.853
GRDC_6337530,0.731
GRDC_6337540,0.331
GRDC_6337541,0.683
GRDC_6337542,0.728
GRDC_6337550,0.603
GRDC_6337560,0.558
GRDC_6337570,0.651
GRDC_6337580,0.401
GRDC_6337590,0.777
GRDC_6337600,0.602
GRDC_6337601,0.654
GRDC_6337610,0.848
GRDC_6338010,0.657
GRDC_6338100,0.849
GRDC_6338110,0.812
GRDC_6338120,0.72
GRDC_6338130,0.778
GRDC_6338140,0.849
GRDC_6338150,0.806
GRDC_6338160,0.774
GRDC_6338161,0.825
GRDC_6338162,0.772
GRDC_6338163,0.586
GRDC_6338200,0.825
GRDC_6338201,0.767
GRDC_6338210,0.775
GRDC_6338250,0.747
GRDC_6338260,0.241
GRDC_6340050,0.458
GRDC_6340070,0.424
GRDC_6340110,0.697
GRDC_6340120,0.651
GRDC_6340130,0.705
GRDC_6340140,0.741
GRDC_6340150,0.72
GRDC_6340160,0.715
GRDC_6340170,0.733
GRDC_6340180,0.738
GRDC_6340190,0.654
GRDC_6340200,0.736
GRDC_6340210,0.611
GRDC_6340215,0.39
GRDC_6340216,0.518
GRDC_6340218,0.062
GRDC_6340220,-0.082
GRDC_6340225,0.416
GRDC_6340300,0.636
GRDC_6340301,0.784
GRDC_6340302,0.738
GRDC_6340303,0.842
GRDC_6340310,0.592
GRDC_6340315,0.733
GRDC_6340320,0.78
GRDC_6340330,0.755
GRDC_6340335,0.814
GRDC_6340340,0.672
GRDC_6340350,0.525
GRDC_6340360,0.655
GRDC_6340365,0.551
GRDC_6340366,0.678
GRDC_6340400,0.733
GRDC_6340410,-0.509
GRDC_6340415,0.64
GRDC_6340420,0.759
GRDC_6340430,0.743
GRDC_6340440,0.736
GRDC_6340500,
GRDC_6340501,0.661
GRDC_6340510,0.647
GRDC_6340515,0.511
GRDC_6340600,0.801
GRDC_6340610,-8.682
GRDC_6340611,0.464
GRDC_6340612,0.731
GRDC_6340613,0.536
GRDC_6340620,0.818
GRDC_6340621,0.788
GRDC_6340625,0.837
GRDC_6340627,0.735
GRDC_6340628,0.866
GRDC_6340630,0.818
GRDC_6340631,
GRDC_6340635,0.652
GRDC_6340670,0.722
GRDC_6340671,0.268
GRDC_6340700,0.723
GRDC_6340800,0.567
GRDC_6340810,0.453
GRDC_6341300,
GRDC_6341301,0.568
GRDC_6341400,0.718
GRDC_6341500,0.727
GRDC_6342050,0.744
GRDC_6342070,0.701
GRDC_6342081,0.47
GRDC_6342100,0.299
GRDC_6342105,0.6
GRDC_6342110,0.616
GRDC_6342120,0.56
GRDC_6342125,0.556
GRDC_6342130,0.743
GRDC_6342200,0.761
GRDC_6342201,0.731
GRDC_6342210,0.71
GRDC_6342220,0.693
GRDC_6342230,0.679
GRDC_6342500,0.759
GRDC_6342501,0.749
GRDC_6342502,0.811
GRDC_6342510,0.602
GRDC_6342512,0.378
GRDC_6342513,0.622
GRDC_6342520,0.72
GRDC_6342521,0.785
GRDC_6342522,0.512
GRDC_6342525,
GRDC_6342530,0.703
GRDC_6342531,0.685
GRDC_6342540,0.487
GRDC_6342570,0.635
GRDC_6342600,0.825
GRDC_6342610,0.845
GRDC_6342611,0.809
GRDC_6342620,
GRDC_6342625,0.772
GRDC_6342630,0.643
GRDC_6342640,0.467
GRDC_6342650,0.546
GRDC_6342655,0.593
GRDC_6342660,0.68
GRDC_6342670,0.432
GRDC_6342675,0.318
GRDC_6342800,0.829
GRDC_6342810,0.76
GRDC_6342820,0.769
GRDC_6342830,0.808
GRDC_6342840,0.802
GRDC_6342900,0.783
GRDC_6342910,0.804
GRDC_6342920,0.824
GRDC_6342925,0.636
GRDC_6342926,0.537
GRDC_6342927,0.436
GRDC_6342928,0.707
GRDC_6342930,0.634
GRDC_6342931,0.662
GRDC_6342935,0.641
GRDC_6342940,-0.636
GRDC_6342945,0.65
GRDC_6342947,0.643
GRDC_6342950,
GRDC_6342951,0.596
GRDC_6342960,0.727
GRDC_6342970,0.804
GRDC_6342980,0.854
GRDC_6343100,0.719
GRDC_6343110,0.546
GRDC_6343111,0.678
GRDC_6343120,0.65
GRDC_6343500,0.767
GRDC_6343510,0.663
GRDC_6343520,0.681
GRDC_6343530,0.729
GRDC_6343531,0.715
GRDC_6343535,0.669
GRDC_6343537,0.685
GRDC_6343550,0.629
GRDC_6343555,0.64
GRDC_6343560,0.674
GRDC_6343570,0.726
GRDC_6343900,0.732
GRDC_6357010,0.395
GRDC_6357020,0.408
GRDC_6357500,0.5
GRDC_6357501,0.644
GRDC_6357502,0.596
GRDC_6357503,0.543
GRDC_6357505,0.517
GRDC_6357510,0.554
GRDC_6357520,0.713
GRDC_6357521,0.683
